Reaction_ID,lb,ub
HMR_6740,0,0.485426827
HMR_6741,0,0
HMR_6743,0,0.201633861
HMR_6770,0,4.624685811
HMR_6771,0,9.839628974
HMR_6772,0,0.176322773
HMR_6774,0,3.544732656
HMR_6776,0,3.195347598
HMR_6778,0,5.602290585
HMR_6787,0,0.485426827
HMR_6803,0,0
HMR_6831,0,1.963474124
HMR_6839,0,1.963474124
HMR_6845,0,1.963474124
HMR_6851,0,1.963474124
HMR_6874,0,0
HMR_6888,0,0.22650853
HMR_7756,0,0.50589093
HMR_8539,0,0.028569152
HMR_8796,0,0
HMR_3879,0,4.740387932
HMR_3881,0,3.658782734
HMR_3917,0,3.821710215
HMR_4189,0,2.700439718
HMR_4302,0,3.658782734
HMR_4323,0,4.740387932
HMR_5381,0,4.408711861
HMR_5385,0,5.152589069
HMR_5386,0,4.42693562
HMR_5387,0,5.078951341
HMR_5388,0,5.222650022
HMR_5389,0,5.222650022
HMR_5390,0,4.624685811
HMR_5391,0,0
HMR_8062,0,4.408711861
HMR_8683,0,3.658782734
HMR_3868,0,5.665335917
HMR_3869,0,5.665335917
HMR_3889,0,3.819668183
HMR_3937,0,6.785681319
HMR_4078,0,6.397974049
HMR_4347,0,0.411426246
HMR_4425,0,0.250961574
HMR_7135,0,4.740387932
HMR_7141,0,3.469885976
HMR_7647,0,0.028569152
HMR_8689,0,0.028569152
HMR_8690,0,0.028569152
HMR_3755,0,3.017921908
HMR_3763,0,2.503348735
HMR_3790,0,3.735522177
HMR_4124,0,5.873567152
HMR_4524,0,5.636334602
HMR_4525,0,3.681449265
HMR_4526,0,3.681449265
HMR_4528,0,3.681449265
HMR_4529,0,6.922673593
HMR_4530,0,3.480265122
HMR_7697,0,4.918863237
HMR_8371,0,6.922673593
HMR_8376,0,0.028569152
HMR_8377,0,4.96208625
HMR_8672,0,5.873567152
HMR_5144,0,3.333423734
HMR_7172,0,0.042644337
HMR_7174,0,0.056583528
HMR_7181,0,4.493775408
HMR_7183,0,0.042644337
HMR_8254,0,0.056583528
HMR_8255,0,0.056583528
HMR_8257,0,2.629939409
HMR_7254,0,5.657068301
HMR_7256,0,3.442280035
HMR_7261,0,1.778208576
HMR_7263,0,2.160274831
HMR_7264,0,5.048323387
HMR_7266,0,3.389566812
HMR_7267,0,5.13996057
HMR_7268,0,5.13996057
HMR_7269,0,3.886550147
HMR_7270,0,3.886550147
HMR_7274,0,6.357727932
HMR_7277,0,3.69265037
HMR_7278,0,5.247168
HMR_7279,0,2.107687869
HMR_7280,0,4.089159132
HMR_7286,0,6.188440489
HMR_7287,0,7.334854269
HMR_7323,0,6.396433531
HMR_7325,0,4.521678952
HMR_7326,0,1.650764559
HMR_7328,0,3.078951341
HMR_7329,0,0.028569152
HMR_7332,0,4.339850003
HMR_7429,0,4.187451054
HMR_7574,0,2.066950244
HMR_7575,0,4.559491813
HMR_7585,0,2.066950244
HMR_7586,0,4.559491813
HMR_8691,0,3.442280035
HMR_8694,0,3.078951341
HMR_5151,0,0.275007047
HMR_5152,0,3.97819563
HMR_5153,0,5.773468928
HMR_5154,0,0
HMR_5157,0,3.440952198
HMR_5158,0,0
HMR_5159,0,0.23878686
HMR_5160,0,0.40053793
HMR_5162,0,0.189033824
HMR_5163,0,0.111031312
HMR_5164,0,5.654492826
HMR_5165,0,6.429113779
HMR_5166,0,4.381283373
HMR_7624,0,0.604071324
HMR_7626,0,0.604071324
HMR_5258,0,0.275007047
HMR_3861,0,5.987093437
HMR_3915,0,4.194559886
HMR_4840,0,0.042644337
HMR_4149,0,5.999774561
HMR_4465,0,6.371210343
HMR_5294,0,2.46727948
HMR_8772,0,1.042644337
HMR_8779,0,6.371210343
HMR_8782,0,6.371210343
HMR_3980,0,4.274261661
HMR_3982,0,4.274261661
HMR_8409,0,2.891419187
HMR_8413,0,8.161988426
HMR_8415,0,8.161988426
HMR_2153,0,6.884964165
HMR_2154,0,6.884964165
HMR_2157,0,6.884964165
HMR_2158,0,6.884964165
HMR_2159,0,6.884964165
HMR_2161,0,6.884964165
HMR_2162,0,6.884964165
HMR_2163,0,6.884964165
HMR_2165,0,6.884964165
HMR_2166,0,6.884964165
HMR_2167,0,6.884964165
HMR_2169,0,6.884964165
HMR_2170,0,6.884964165
HMR_2171,0,6.884964165
HMR_2174,0,6.884964165
HMR_2175,0,6.884964165
HMR_2176,0,6.884964165
HMR_2179,0,6.884964165
HMR_2180,0,6.884964165
HMR_2181,0,6.884964165
HMR_4295,0,1.321928095
HMR_2227,0,6.884964165
HMR_2228,0,6.884964165
HMR_2229,0,6.884964165
HMR_2230,0,6.884964165
HMR_2231,0,6.884964165
HMR_2232,0,6.884964165
HMR_2233,0,6.884964165
HMR_2234,0,6.884964165
HMR_2235,0,6.884964165
HMR_2236,0,6.884964165
HMR_2237,0,6.884964165
HMR_2238,0,6.884964165
HMR_2239,0,6.884964165
HMR_2240,0,6.884964165
HMR_2241,0,6.884964165
HMR_2242,0,6.884964165
HMR_2243,0,6.884964165
HMR_2244,0,6.884964165
HMR_2245,0,6.884964165
HMR_2246,0,6.884964165
HMR_2247,0,6.884964165
HMR_2249,0,6.884964165
HMR_2250,0,6.884964165
HMR_2251,0,6.884964165
HMR_2252,0,6.884964165
HMR_2254,0,6.884964165
HMR_2255,0,6.884964165
HMR_2256,0,6.884964165
HMR_2257,0,6.884964165
HMR_2307,0,5.23878686
HMR_2317,0,5.23878686
HMR_2326,0,5.23878686
HMR_2334,0,5.23878686
HMR_2343,0,5.23878686
HMR_2348,0,5.23878686
HMR_2354,0,5.23878686
HMR_2362,0,5.23878686
HMR_2191,0,5.23878686
