Component,g/L,reaction,lb,ub
-1.0 pyridoxal-phosphate <-->,0,HMR_9691,0,1000
-1.0 spermine dialdehyde <-->,0,HMR_9692,0,1000
-1.0 xanthurenate <-->,0,HMR_9693,0,1000
-1.0 homovanillate <-->,0,HMR_9694,0,1000
-1.0 G00040 <-->,0,HMR_9695,0,1000
-1.0 G00079 <-->,0,HMR_9696,0,1000
-1.0 G00082 <-->,0,HMR_9697,0,1000
-1.0 G00083 <-->,0,HMR_9698,0,1000
-1.0 V3(NeuAc)2-Gb5Cer <-->,0,HMR_9699,0,1000
-1.0 n5m2masn <-->,0,HMR_9700,0,1000
-1.0 coproporphyrin I <-->,0,HMR_9701,0,1000
-1.0 coproporphyrin III <-->,0,HMR_9702,0,1000
-1.0 gpi_sig <-->,0,HMR_9703,0,1000
-1.0 dgpi_prot heparan sulfate <-->,0,HMR_9704,0,1000
-1.0 dem2emgacpail_prot heparan sulfate <-->,0,HMR_9705,0,1000
"-1.0 glcnac-alpha-1,4-core 2 <-->",0,HMR_9706,0,1000
-1.0 3-deoxy-D-glycero-D-galacto-2-nonulosonic acid <-->,0,HMR_9707,0,1000
-1.0 eumelanin <-->,0,HMR_9708,0,1000
-1.0 core 5 <-->,0,HMR_9709,0,1000
-1.0 core 7 <-->,0,HMR_9710,0,1000
-1.0 core 8 <-->,0,HMR_9711,0,1000
-1.0 mem2emgacpail_prot heparan sulfate <-->,0,HMR_9712,0,1000
-1.0 4-hydroxyretinoic acid <-->,0,HMR_9713,0,1000
-1.0 m3gacpail_prot heparan sulfate <-->,0,HMR_9714,0,1000
-1.0 spermine <-->,0,HMR_9715,0,1000
-1.0 dolichol <-->,0,HMR_9721,0,1000
-1.0 glycogen <-->,0,HMR_9729,0,1000
-1.0 albumin <-->,0,HMR_9730,0,1000
-1.0 1-Acyl Phosphoglycerol <-->,0,EX_1glyc_hs[e],0,1000
-1.0 Fatty Acid 9-Cis-Retinol <-->,0,EX_9_cis_retfa[e],0,1000
-1.0 adrenic acid <-->,0,EX_adrn[e],0,1000
-1.0 eicosanoate <-->,0,EX_arach[e],0,1000
-1.0 arachidonate <-->,0,EX_arachd[e],0,1000
-1.0 ATP <-->,0,EX_atp[e],0,1000
-1.0 Beta-Tocopherol <-->,0,EX_bvite[e],0,1000
-1.0 DPA <-->,0,EX_clpnd[e],0,1000
-1.0 ceramide-1P pool <-->,0,EX_crmp_hs[e],0,1000
-1.0 DHA <-->,0,EX_crvnc[e],0,1000
"-1.0 1,2-diacylglycerol-LD-TAG pool <-->",0,EX_dag_hs[e],0,1000
"-1.0 (4Z,7Z,10Z,13Z,16Z)-DPA <-->",0,EX_dcsptn1[e],0,1000
-1.0 dihomo-gamma-linolenate <-->,0,EX_dlnlcg[e],0,1000
-1.0 omega-3-arachidonic acid <-->,0,EX_eicostet[e],0,1000
-1.0 elaidate <-->,0,EX_elaid[e],0,1000
-1.0 Ley Glycolipid <-->,0,EX_fucfuc12gal14acglcgalgluside_hs[e],0,1000
-1.0 Leb Glycolipid <-->,0,EX_fucfucgalacglcgalgluside_hs[e],0,1000
-1.0 (S)-Glycerate <-->,0,EX_glyc_S[e],0,1000
-1.0 glycogenin G4G7 <-->,0,EX_glygn2[e],0,1000
"-1.0 Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]}) <-->",0,EX_glygn4[e],0,1000
"-1.0 Glycogen, Structure 5 (Glycogenin-2[1,4-Glc]) <-->",0,EX_glygn5[e],0,1000
-1.0 palmitate <-->,0,EX_hdca[e],0,1000
-1.0 palmitolate <-->,0,EX_hdcea[e],0,1000
-1.0 cerotic acid <-->,0,EX_hexc[e],0,1000
-1.0 histamine <-->,0,EX_hista[e],0,1000
-1.0 margaric acid <-->,0,EX_hpdca[e],0,1000
-1.0 lignocerate <-->,0,EX_lgnc[e],0,1000
"-1.0 (6Z,9Z)-octadecadienoic acid <-->",0,EX_lneldc[e],0,1000
-1.0 gamma-linolenate <-->,0,EX_lnlncg[e],0,1000
-1.0 2-lysolecithin pool <-->,0,EX_lpchol_hs[e],0,1000
-1.0 1-acylglycerol-3P pool <-->,0,EX_mag_hs[e],0,1000
-1.0 nervonic acid <-->,0,EX_nrvnc[e],0,1000
-1.0 stearate <-->,0,EX_ocdca[e],0,1000
-1.0 oleate <-->,0,EX_ocdcea[e],0,1000
-1.0 PC-LD pool <-->,0,EX_pchol_hs[e],0,1000
-1.0 PE-LD pool <-->,0,EX_pe_hs[e],0,1000
-1.0 PG-CL pool <-->,0,EX_pglyc_hs[e],0,1000
-1.0 Phytanate <-->,0,EX_phyt[e],0,1000
-1.0 PS-LD pool <-->,0,EX_ps_hs[e],0,1000
-1.0 pentadecylic acid <-->,0,EX_ptdca[e],0,1000
-1.0 retinyl-ester <-->,0,EX_retfa[e],0,1000
-1.0 9-cis-retinol <-->,0,EX_retinol_9_cis[e],0,1000
-1.0 11-cis-retinol <-->,0,EX_retinol_cis_11[e],0,1000
-1.0 stearidonic acid <-->,0,EX_strdnc[e],0,1000
-1.0 TAG-VLDL pool <-->,0,EX_tag_hs[e],0,1000
"-1.0 (6Z,9Z,12Z,15Z,18Z,21Z)-THA <-->",0,EX_tethex3[e],0,1000
"-1.0 (9Z,12Z,15Z,18Z,21Z)-TPA <-->",0,EX_tetpent3[e],0,1000
"-1.0 (6Z,9Z,12Z,15Z,18Z)-TPA <-->",0,EX_tetpent6[e],0,1000
"-1.0 (9Z,12Z,15Z,18Z)-TTA <-->",0,EX_tettet6[e],0,1000
-1.0 EPA <-->,0,EX_tmndnc[e],0,1000
-1.0 myristic acid <-->,0,EX_ttdca[e],0,1000
-1.0 cis-vaccenic acid <-->,0,EX_vacc[e],0,1000
-1.0 Cholesterol Ester <-->,0,EX_xolest_hs[e],0,1000
-1.0 cholesterol-ester pool <-->,0,EX_xolest2_hs[e],0,1000
"-1.0 cholest-5-ene-3beta,7alpha,24(S)-triol <-->",0,EX_xoltri24[e],0,1000
"-1.0 cholest-5-ene-3beta,7alpha,25-triol <-->",0,EX_xoltri25[e],0,1000
"-1.0 cholest-5-ene-3beta,7alpha,27-triol <-->",0,EX_xoltri27[e],0,1000
-1.0 4-aminobutanal <-->,0,EX_4abutn[e],0,1000
"-1.0 6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin <-->",0,EX_ahdt[e],0,1000
-1.0 CTP <-->,0,EX_ctp[e],0,1000
-1.0 dGMP <-->,0,EX_dgmp[e],0,1000
-1.0 dGTP <-->,0,EX_dgtp[e],0,1000
-1.0 glycerone <-->,0,EX_dha[e],0,1000
-1.0 DHAP <-->,0,EX_dhap[e],0,1000
-1.0 dTMP <-->,0,EX_dtmp[e],0,1000
-1.0 dTTP <-->,0,EX_dttp[e],0,1000
-1.0 FAD <-->,0,EX_fad[e],0,1000
-1.0 formaldehyde <-->,0,EX_fald[e],0,1000
-1.0 glucose-1-phosphate <-->,0,EX_g1p[e],0,1000
-1.0 isomaltose <-->,0,EX_HC00229[e],0,1000
-1.0 3-keto-beta-D-galactose <-->,0,EX_HC01440[e],0,1000
-1.0 lactose-6-phosphate <-->,0,EX_HC01441[e],0,1000
-1.0 3-ketolactose <-->,0,EX_HC01446[e],0,1000
-1.0 gamma-glutamyl-beta-cyanoalanine <-->,0,EX_HC01577[e],0,1000
-1.0 uroporphyrinogen I <-->,0,EX_HC01609[e],0,1000
-1.0 coproporphyrinogen I <-->,0,EX_HC01610[e],0,1000
-1.0 gamma-glutamyl-3-aminopropiononitrile <-->,0,EX_HC01700[e],0,1000
-1.0 GM2 <-->,0,EX_HC02160[e],0,1000
-1.0 GM1 <-->,0,EX_HC02161[e],0,1000
-1.0 PRPP <-->,0,EX_prpp[e],0,1000
-1.0 UDP-glucose <-->,0,EX_udpg[e],0,1000
-1.0 prostaglandin H2 <-->,0,EX_prostgh2[e],0,1000
-1.0 prostaglandin I2 <-->,0,EX_prostgi2[e],0,1000
-1.0 CDP <-->,0,EX_cdp[e],0,1000
-1.0 dTDP <-->,0,EX_dtdp[e],0,1000
-1.0 L-3-cyanoalanine <-->,0,EX_HC00955[e],0,1000
-1.0 antichymotrypsin <-->,0,EX_HC00002[e],0,1000
-1.0 antitrypsin <-->,0,EX_HC00003[e],0,1000
-1.0 apoA1 <-->,0,EX_HC00004[e],0,1000
-1.0 fibrinogen <-->,0,EX_HC01852[e],0,1000
-1.0 haptoglobin <-->,0,EX_HC01939[e],0,1000
-1.0 plasminogen <-->,0,EX_HC01942[e],0,1000
-1.0 prothrombin <-->,0,EX_HC01943[e],0,1000
-1.0 [apotransferin] <-->,0,EX_HC01944[e],0,1000
-1.0 chitobiose <-->,0,EX_HC00822[e],0,1000
-1.0 Chenodeoxycholate <-->,0,EX_C02528[e],0,1000
-1.0 taurolithocholate <-->,0,EX_HC02192[e],0,1000
-1.0 glycolithocholate <-->,0,EX_HC02193[e],0,1000
-1.0 tauroursodeoxycholate <-->,0,EX_HC02195[e],0,1000
-1.0 glycoursodeoxycholate <-->,0,EX_HC02196[e],0,1000
-1.0 sulfochenodeoxycholate <-->,0,EX_HC02220[e],0,1000
-1.0 Gm4-Pool <-->,0,EX_HC02154[e],0,1000
-1.0 glutathionyl-leukotriene C4 <-->,0,EX_HC02199[e],0,1000
-1.0 S-glutathionyl-2-4-dinitrobenzene <-->,0,EX_HC02200[e],0,1000
-1.0 S-glutathionyl-ethacrynic acid <-->,0,EX_HC02201[e],0,1000
-1.0 lithocholate <-->,0,EX_HC02191[e],0,1000
-1.0 ursodeoxycholate <-->,0,EX_HC02194[e],0,1000
-1.0 sulfoglycolithocholate <-->,0,EX_HC02197[e],0,1000
-1.0 sulfotaurolithocholate <-->,0,EX_HC02198[e],0,1000
-1.0 reverse triiodthyronine <-->,0,EX_HC02187[e],0,1000
-1.0 thromboxane B2 <-->,0,EX_HC02180[e],0,1000
-1.0 prostaglandin A1 <-->,0,EX_HC02202[e],0,1000
-1.0 prostaglandin A2 <-->,0,EX_HC02203[e],0,1000
-1.0 prostaglandin B1 <-->,0,EX_HC02204[e],0,1000
-1.0 prostaglandin B2 <-->,0,EX_HC02205[e],0,1000
-1.0 prostaglandin C1 <-->,0,EX_HC02206[e],0,1000
-1.0 prostaglandin C2 <-->,0,EX_HC02207[e],0,1000
-1.0 prostaglandin D1 <-->,0,EX_HC02208[e],0,1000
-1.0 prostaglandin D3 <-->,0,EX_HC02210[e],0,1000
-1.0 prostaglandin E3 <-->,0,EX_HC02213[e],0,1000
-1.0 prostaglandin F1alpha <-->,0,EX_HC02214[e],0,1000
-1.0 prostaglandin F2beta <-->,0,EX_HC02216[e],0,1000
-1.0 prostaglandin G2 <-->,0,EX_HC02217[e],0,1000
-1.0 malonyl-CoA <-->,0,EX_malcoa[e],0,1000
-1.0 eicosanoyl-CoA <-->,0,EX_arachcoa[e],0,1000
-1.0 CoA <-->,0,EX_coa[e],0,1000
-1.0 3-oxodocosanoyl-CoA <-->,0,EX_CE2250[e],0,1000
-1.0 spermine monoaldehyde <-->,0,EX_CE1935[e],0,1000
-1.0 spermidine monoaldehyde 2 <-->,0,EX_CE1940[e],0,1000
-1.0 spermidine dialdehyde <-->,0,EX_CE1943[e],0,1000
-1.0 hypothiocyanite <-->,0,EX_CE2011[e],0,1000
-1.0 spermidine monoaldehyde 1 <-->,0,EX_CE1939[e],0,1000
-1.0 Maltopentaose <-->,0,EX_maltpt[e],0,1000
-1.0 beta-casomorphin <-->,0,EX_CE2915[e],0,1000
-1.0 beta-casomorphin (1-6) <-->,0,EX_CE4722[e],0,1000
-1.0 neocasomorphin <-->,0,EX_CE2916[e],0,1000
-1.0 neocasomorphin (1-5) <-->,0,EX_CE4723[e],0,1000
-1.0 apelin-13 <-->,0,EX_CE2917[e],0,1000
-1.0 apelin-(1-12) <-->,0,EX_CE4724[e],0,1000
-1.0 Maltoheptaose <-->,0,EX_malthp[e],0,1000
-1.0 maltononaose <-->,0,EX_CE2838[e],0,1000
-1.0 Cyanosulfurous Acid Anion <-->,0,EX_CE1950[e],0,1000
-1.0 Cyanate <-->,0,EX_cynt[e],0,1000
"-1.0 2,3-cyclic-UMP <-->",0,EX_23cump[e],0,1000
-1.0 3-UMP <-->,0,EX_3ump[e],0,1000
-1.0 kinetensin <-->,0,EX_CE5786[e],0,1000
-1.0 kinetensin 1-7 <-->,0,EX_CE5788[e],0,1000
-1.0 kinetensin 1-8 <-->,0,EX_CE5789[e],0,1000
-1.0 neuromedin N <-->,0,EX_CE5797[e],0,1000
-1.0 neuromedin N(1-4) <-->,0,EX_CE5798[e],0,1000
-1.0 kinetensin 1-3 <-->,0,EX_CE5787[e],0,1000
-1.0 kinetensin 4-8 <-->,0,EX_CE5791[e],0,1000
-1.0 N-acetyl-seryl-aspartyl-lysyl-proline <-->,0,EX_CE5867[e],0,1000
-1.0 N-acetyl-seryl-aspartate <-->,0,EX_CE5868[e],0,1000
-1.0 lysyl-proline <-->,0,EX_CE5869[e],0,1000
-1.0 hypochlorite <-->,0,EX_CE4633[e],0,1000
-1.0 nitryl-chloride <-->,0,EX_CE4881[e],0,1000
-1.0 gamma-CEHC-glucuronide <-->,0,EX_CE5854[e],0,1000
-1.0 gamma-carboxyethyl-hydroxychroman <-->,0,EX_CE1926[e],0,1000
-1.0 UDP-galactose <-->,0,EX_udpgal[e],0,1000
-1.0 ceramide pool <-->,0,EX_crm_hs[e],0,1000
-1.0 D-galactosyl-N-acylsphingosine <-->,0,EX_galside_hs[e],0,1000
-1.0 alloxan <-->,0,EX_CE0074[e],0,1000
-1.0 CDP-ethanolamine <-->,0,EX_cdpea[e],0,1000
"-1.0 1,2-Diacyl-Sn-Glycerol (Didodecanoyl, N-C12:0) <-->",0,EX_12dgr120[e],0,1000
-1.0 alpha-CEHC-glucuronide <-->,0,EX_CE5853[e],0,1000
-1.0 3-carboxy-alpha-chromanol <-->,0,EX_CE1925[e],0,1000
-1.0 hepoxilin A3 <-->,0,EX_C04849[e],0,1000
-1.0 3-Hydroxy Butyryl Carnitine <-->,0,EX_3bcrn[e],0,1000
-1.0 3-Hydroxydodecanoylcarnitine <-->,0,EX_3ddcrn[e],0,1000
-1.0 3-Hydroxydecanoylcarnitine <-->,0,EX_3deccrn[e],0,1000
-1.0 3-Hydroxyhexadecenoylcarnitine <-->,0,EX_3hdececrn[e],0,1000
-1.0 3-Hydroxyhexadecanoylcarnitine <-->,0,EX_3hexdcrn[e],0,1000
-1.0 3-Hydroxy-Isovaleryl Carnitine <-->,0,EX_3ivcrn[e],0,1000
-1.0 3-Hydroxyoctadecadienoylcarnitine <-->,0,EX_3octdec2crn[e],0,1000
-1.0 3-Hydroxyoctadecanoyl Carnitine <-->,0,EX_3octdeccrn[e],0,1000
-1.0 3-Hydroxy-Octadecenoyl Carnitine <-->,0,EX_3octdece1crn[e],0,1000
-1.0 3-Hydroxy-Tetradecanoyl Carnitine <-->,0,EX_3tdcrn[e],0,1000
-1.0 3-Hydroxy Tetradecenoyl-7-Carnitine <-->,0,EX_3tetd7ecoacrn[e],0,1000
"-1.0 3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine <-->",0,EX_3thexddcoacrn[e],0,1000
"-1.0 3-Hydroxy Trans5,8Tetradecadienoyl Carnitine <-->",0,EX_3ttetddcoacrn[e],0,1000
-1.0 Decenoyl Carnitine <-->,0,EX_c101crn[e],0,1000
-1.0 Decanoyl Carnitine <-->,0,EX_c10crn[e],0,1000
-1.0 Sebacoyl Carnitine <-->,0,EX_c10dc[e],0,1000
-1.0 Dodecanedioyl Carnitine <-->,0,EX_c12dc[e],0,1000
-1.0 Hexadecanedioic Acid Mono-L-Carnitine Ester <-->,0,EX_c16dc[e],0,1000
-1.0 Malonyl Carnitine <-->,0,EX_c3dc[e],0,1000
-1.0 O-butanoylcarnitine <-->,0,EX_c4crn[e],0,1000
-1.0 Succinyl Carnitine <-->,0,EX_c4dc[e],0,1000
-1.0 Tiglyl Carnitine <-->,0,EX_c51crn[e],0,1000
-1.0 Glutaryl Carnitine <-->,0,EX_c5dc[e],0,1000
-1.0 Hexanoyl Carnitine <-->,0,EX_c6crn[e],0,1000
-1.0 Adipoyl Carnitine <-->,0,EX_c6dc[e],0,1000
-1.0 Octenoyl Carnitine <-->,0,EX_c81crn[e],0,1000
-1.0 L-octanoylcarnitine <-->,0,EX_c8crn[e],0,1000
-1.0 Suberyl Carnitine <-->,0,EX_c8dc[e],0,1000
-1.0 Dodecenoyl Carnitine <-->,0,EX_ddece1crn[e],0,1000
-1.0 Lauroyl Carnitine <-->,0,EX_ddecrn[e],0,1000
-1.0 Decadienoyl Carnitine <-->,0,EX_decdicrn[e],0,1000
-1.0 cis-erucic acid <-->,0,EX_doco13ac[e],0,1000
-1.0 behenic acid <-->,0,EX_docosac[e],0,1000
-1.0 Docosanedioicacid <-->,0,EX_docosdiac[e],0,1000
-1.0 Isovaleryl Carnitine <-->,0,EX_ivcrn[e],0,1000
-1.0 Tetradecadienoyl Carnitine <-->,0,EX_tetdec2crn[e],0,1000
-1.0 Tetradecenoyl Carnitine <-->,0,EX_tetdece1crn[e],0,1000
-1.0 trans-4-hydroxy-L-proline <-->,0,EX_4hpro[e],0,1000
-1.0 cobamide-coenzyme <-->,0,EX_adpcbl[e],0,1000
-1.0 D-Alanyl-D-Alanine <-->,0,EX_alaala[e],0,1000
-1.0 Beta-Glucans <-->,0,EX_bglc[e],0,1000
-1.0 carnosine <-->,0,EX_carn[e],0,1000
"-1.0 3alpha,12alpha-dihydroxy-5beta-cholanate <-->",0,EX_dchac[e],0,1000
-1.0 Beta Glucan-Glycocholate Complex <-->,0,EX_glgchlo[e],0,1000
-1.0 Beta Glucan-Taurocholic Acid Complex <-->,0,EX_gltcho[e],0,1000
-1.0 Beta Glucan-Taurodeoxycholic Acid Complex <-->,0,EX_gltdechol[e],0,1000
-1.0 Glycyl-Glycine <-->,0,EX_glygly[e],0,1000
-1.0 Glycylsarcosine <-->,0,EX_glysar[e],0,1000
-1.0 Gums <-->,0,EX_gum[e],0,1000
-1.0 Guar Gum-Deoxyxholic Acid Complex <-->,0,EX_gumdchac[e],0,1000
-1.0 Guar Gum-Glycocholate Complex <-->,0,EX_gumgchol[e],0,1000
-1.0 Guar Gum-Taurocholic Acid Complex <-->,0,EX_gumtchol[e],0,1000
-1.0 Leucyl-Glycine <-->,0,EX_leugly[e],0,1000
-1.0 Leucylleucine <-->,0,EX_leuleu[e],0,1000
-1.0 Pectin <-->,0,EX_pect[e],0,1000
-1.0 Pectin-Deoxycholic Acid Complex <-->,0,EX_pectindchac[e],0,1000
-1.0 Pectin-Glycocholate Complex <-->,0,EX_pectingchol[e],0,1000
-1.0 Pectin-Taurocholic Acid Complex <-->,0,EX_pectintchol[e],0,1000
-1.0 Psyllium <-->,0,EX_psyl[e],0,1000
-1.0 Psillium-Glycocholic Acid Complex <-->,0,EX_psylchol[e],0,1000
-1.0 Psyllium-Taurocholic Acid Complex <-->,0,EX_psyltchol[e],0,1000
-1.0 Psyllium-Taurodeoxycholic Acid Complex <-->,0,EX_psyltdechol[e],0,1000
-1.0 S-Sulfo-L-Cysteine <-->,0,EX_sfcys[e],0,1000
-1.0 taurodeoxycholate <-->,0,EX_tdechola[e],0,1000
-1.0 cysteamine <-->,0,EX_cysam[e],0,1000
-1.0 dephospho-CoA <-->,0,EX_dpcoa[e],0,1000
-1.0 FMN <-->,0,EX_fmn[e],0,1000
-1.0 hypotaurine <-->,0,EX_hyptaur[e],0,1000
-1.0 phosphopantetheine <-->,0,EX_pan4p[e],0,1000
-1.0 pantetheine <-->,0,EX_ptth[e],0,1000
-1.0 ubiquinone <-->,0,EX_q10[e],0,1000
-1.0 ubiquinol <-->,0,EX_q10h2[e],0,1000
-1.0 4-hydroxyphenylpyruvate <-->,0,EX_34hpp[e],0,1000
-1.0 3-methyl-2-oxobutyrate <-->,0,EX_3mob[e],0,1000
-1.0 2-oxo-3-methylvalerate <-->,0,EX_3mop[e],0,1000
-1.0 4-methyl-2-oxopentanoate <-->,0,EX_4mop[e],0,1000
-1.0 5-methylthioadenosine <-->,0,EX_5mta[e],0,1000
-1.0 5-oxoproline <-->,0,EX_5oxpro[e],0,1000
-1.0 SAH <-->,0,EX_ahcys[e],0,1000
-1.0 AICAR <-->,0,EX_aicar[e],0,1000
-1.0 anthranilate <-->,0,EX_anth[e],0,1000
-1.0 N-carbamoyl-L-aspartate <-->,0,EX_cbasp[e],0,1000
-1.0 2-phospho-D-glycerate <-->,0,EX_2pg[e],0,1000
-1.0 5-hydroxyindoleacetate <-->,0,EX_5hoxindoa[e],0,1000
-1.0 3-ureidopropionate <-->,0,EX_cala[e],0,1000
-1.0 phosphocholine <-->,0,EX_cholp[e],0,1000
-1.0 L-cystathionine <-->,0,EX_cyst_L[e],0,1000
-1.0 dCMP <-->,0,EX_dcmp[e],0,1000
-1.0 dimethylglycine <-->,0,EX_dmgly[e],0,1000
-1.0 ethanolamine-phosphate <-->,0,EX_ethamp[e],0,1000
-1.0 sn-glycerol-3-PC <-->,0,EX_g3pc[e],0,1000
-1.0 glyceraldehyde <-->,0,EX_glyald[e],0,1000
-1.0 guanidinoacetate <-->,0,EX_gudac[e],0,1000
-1.0 homocysteine <-->,0,EX_hcys_L[e],0,1000
-1.0 isocitrate <-->,0,EX_icit[e],0,1000
-1.0 4-hydroxy-2-quinolinecarboxylic acid <-->,0,EX_kynate[e],0,1000
-1.0 L-2-aminoadipate <-->,0,EX_L2aadp[e],0,1000
-1.0 kynurenine <-->,0,EX_Lkynr[e],0,1000
-1.0 PEP <-->,0,EX_pep[e],0,1000
-1.0 quinolinate <-->,0,EX_quln[e],0,1000
-1.0 xanthosine-5-phosphate <-->,0,EX_xmp[e],0,1000
-1.0 xanthosine <-->,0,EX_xtsn[e],0,1000
-1.0 3-phospho-D-glycerate <-->,0,EX_3pg[e],0,1000
-1.0 3-hydroxyanthranilate <-->,0,EX_3hanthrn[e],0,1000
-1.0 UDP-glucuronate <-->,0,EX_udpglcur[e],0,1000
-1.0 3-hydroxy-L-kynurenine <-->,0,EX_hLkynr[e],0,1000
-1.0 nicotinate ribonucleotide <-->,0,EX_nicrnt[e],0,1000
-1.0 orotidine-5-phosphate <-->,0,EX_orot5p[e],0,1000
-1.0 sn-glycerol-3-phosphate <-->,0,EX_glyc3p[e],0,1000
-1.0 argininosuccinate <-->,0,EX_argsuc[e],0,1000
-1.0 O-acetylcarnitine <-->,0,EX_acrn[e],0,1000
-1.0 O-propanoylcarnitine <-->,0,EX_pcrn[e],0,1000
"-1.0 (6Z,9Z)-octadecadienoylcarnitine <-->",0,EX_lneldccrn[e],0,1000
-1.0 octadecenoylcarnitine(5) <-->,0,EX_odecrn[e],0,1000
-1.0 stearoylcarnitine <-->,0,EX_stcrn[e],0,1000
-1.0 L-palmitoylcarnitine <-->,0,EX_pmtcrn[e],0,1000
-1.0 palmitoleoyl-carnitine <-->,0,EX_hdcecrn[e],0,1000
-1.0 3-Methyl-Thio-Propionate <-->,0,EX_3mtp[e],0,1000
"-1.0 8,9-EET <-->",0,EX_C14769[e],0,1000
-1.0 12(S)-HPETE <-->,0,EX_12HPET[e],0,1000
-1.0 15(S)-HPETE <-->,0,EX_15HPET[e],0,1000
-1.0 15-Keto-Prostaglandin F2A <-->,0,EX_15kprostgf2[e],0,1000
-1.0 21-Hydroxypregnenolone <-->,0,EX_21hprgnlone[e],0,1000
-1.0 2-oxoadipate <-->,0,EX_2oxoadp[e],0,1000
-1.0 4-hydroxyphenyllactate <-->,0,EX_34hpl[e],0,1000
-1.0 3-hydroxyisobutyrate <-->,0,EX_3hmp[e],0,1000
-1.0 hydracrylate <-->,0,EX_3hpp[e],0,1000
-1.0 3-(3-Hydroxy-Phenyl)Propionate Hydroxy Derivative Glucuronide <-->,0,EX_3hpppnohgluc[e],0,1000
-1.0 3-Methylhistidine <-->,0,EX_3mhis[e],0,1000
-1.0 3-ureidoisobutyrate <-->,0,EX_3uib[e],0,1000
-1.0 4-acetamidobutanoate <-->,0,EX_4aabutn[e],0,1000
-1.0 gamma-butyrobetaine <-->,0,EX_4tmeabutn[e],0,1000
-1.0 dihydrothymine <-->,0,EX_56dthm[e],0,1000
"-1.0 5,6-Dihydrouracil <-->",0,EX_56dura[e],0,1000
-1.0 5(S)-HPETE <-->,0,EX_5HPET[e],0,1000
-1.0 provitamin D3 <-->,0,EX_7dhchsterol[e],0,1000
-1.0 Acetyl-Glycine <-->,0,EX_acgly[e],0,1000
-1.0 Acetyl-L-Lysine <-->,0,EX_aclys[e],0,1000
-1.0 N-acetylornithine <-->,0,EX_acorn[e],0,1000
-1.0 Acetyl-Threonine <-->,0,EX_acthr_L[e],0,1000
-1.0 Adipic Acid <-->,0,EX_adpac[e],0,1000
-1.0 2-Hydroxyadipic Acid <-->,0,EX_adpoh[e],0,1000
-1.0 SAM <-->,0,EX_amet[e],0,1000
"-1.0 19-Hydroxyandrost-4-Ene-3,17-Dione <-->",0,EX_and19one[e],0,1000
-1.0 O-Arachidonoyl Ethanolamine <-->,0,EX_aracheth[e],0,1000
-1.0 biliverdin <-->,0,EX_biliverd[e],0,1000
-1.0 (S)-2-aminobutanoate <-->,0,EX_C02356[e],0,1000
-1.0 N-acetylmethionine <-->,0,EX_C02712[e],0,1000
-1.0 13(S)-HPODE <-->,0,EX_C04717[e],0,1000
-1.0 5(S)-HETE <-->,0,EX_C04805[e],0,1000
-1.0 prostaglandin J2 <-->,0,EX_C05957[e],0,1000
-1.0 lipoxin A4 <-->,0,EX_C06314[e],0,1000
-1.0 lipoxin B4 <-->,0,EX_C06315[e],0,1000
-1.0 anandamide <-->,0,EX_C11695[e],0,1000
"-1.0 5,6-EET <-->",0,EX_C14768[e],0,1000
"-1.0 11,12-EET <-->",0,EX_C14770[e],0,1000
"-1.0 14,15-EET <-->",0,EX_C14771[e],0,1000
-1.0 9(10)-EpOME <-->,0,EX_C14825[e],0,1000
-1.0 12(13)-EpOME <-->,0,EX_C14826[e],0,1000
-1.0 6-oxo-prostaglandin F1alpha <-->,0,EX_CE0955[e],0,1000
"-1.0 5beta-cholestane-3alpha,7alpha,12alpha,24s,25-pentol <-->",0,EX_CE1273[e],0,1000
-1.0 8-Dehydrocholesterol <-->,0,EX_CE1297[e],0,1000
-1.0 N-acetyl-L-alanine <-->,0,EX_CE1554[e],0,1000
-1.0 N-acetyl-L-asparagine <-->,0,EX_CE1557[e],0,1000
-1.0 beta-hydroxy-beta-methylbutyrate <-->,0,EX_CE2028[e],0,1000
-1.0 3-O-methyldopa <-->,0,EX_CE2176[e],0,1000
-1.0 6-trans-LTB4 <-->,0,EX_CE2445[e],0,1000
-1.0 15(S)-HETrE <-->,0,EX_CE2537[e],0,1000
"-1.0 Cis,Cis-11,14-Eicosadienoic Acid <-->",0,EX_CE4843[e],0,1000
-1.0 15-deoxy-PGD2 <-->,0,EX_CE5304[e],0,1000
-1.0 androsterone sulfate <-->,0,EX_CE6031[e],0,1000
"-1.0 5,12,20-TriHETE <-->",0,EX_CE6247[e],0,1000
-1.0 15(S)-HEPE <-->,0,EX_CE7082[e],0,1000
-1.0 leukotriene B5 <-->,0,EX_CE7083[e],0,1000
"-1.0 14,15-DiHETE <-->",0,EX_CE7172[e],0,1000
-1.0 cortisone <-->,0,EX_cortsn[e],0,1000
"-1.0 C12:0-Ethanolamide, Didecanoyl Ethanolamide <-->",0,EX_didecaeth[e],0,1000
-1.0 Dihomo-Gamma-Linolenoyl Ethanolamide <-->,0,EX_diholineth[e],0,1000
-1.0 Docosahexaenoyl Ethanolamide <-->,0,EX_docohxeth[e],0,1000
"-1.0 Docosatetraenoyl Ethanolamide (22:4, Delta 7, 10, 13, 16) <-->",0,EX_docteteth[e],0,1000
