Component,g/L,reaction,lb,ub
-1.0 chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan <-->,0,HMR_9117,0,1000
-1.0 chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan <-->,0,HMR_9118,0,1000
-1.0 chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan <-->,0,HMR_9119,0,1000
-1.0 chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan <-->,0,HMR_9120,0,1000
"-1.0 chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan <-->",0,HMR_9121,0,1000
-1.0 hyaluronate <-->,0,HMR_9122,0,1000
"-1.0 hyaluronan biosynthesis, precursor 1 <-->",0,HMR_9123,0,1000
-1.0 de-Fuc form of PA6 <-->,0,HMR_9124,0,1000
-1.0 PA6 <-->,0,HMR_9125,0,1000
-1.0 n2m2nmasn <-->,0,HMR_9126,0,1000
-1.0 sialyl-Tn antigen <-->,0,HMR_9127,0,1000
-1.0 disialyl-T antigen <-->,0,HMR_9128,0,1000
-1.0 estradiol-17beta 3-glucuronide <-->,0,HMR_9129,0,1000
-1.0 LPL <-->,0,HMR_9130,0,1000
-1.0 sarcosine <-->,0,HMR_9131,0,1000
-1.0 acetoacetate <-->,0,HMR_9132,0,1000
-1.0 pyruvate <-->,0,HMR_9133,0,1000
-1.0 (R)-3-hydroxybutanoate <-->,0,HMR_9134,0,1000
-1.0 L-lactate <-->,0,HMR_9135,0,1000
-1.0 D-lactate <-->,0,HMR_9136,0,1000
-1.0 mannose <-->,0,HMR_9137,0,1000
-1.0 xylitol <-->,0,HMR_9138,0,1000
-1.0 fructose <-->,0,HMR_9139,0,1000
-1.0 galactose <-->,0,HMR_9140,0,1000
-1.0 ADP-ribose <-->,0,HMR_9141,0,1000
-1.0 nicotinate <-->,0,HMR_9142,0,1000
-1.0 riboflavin <-->,0.000219,HMR_9143,-0.000219,1000
-1.0 pyridoxine <-->,0.002013,HMR_9144,-0.002013,1000
-1.0 pantothenate <-->,0.00224,HMR_9145,-0.00224,1000
-1.0 folate <-->,0.00265,HMR_9146,-0.00265,1000
-1.0 retinol <-->,0,HMR_9147,0,1000
-1.0 iodide <-->,0,HMR_9148,0,1000
-1.0 nitrite <-->,0,HMR_9149,0,1000
-1.0 chloride <-->,0,HMR_9150,0,1000
-1.0 alpha-tocopherol <-->,0,HMR_9151,0,1000
-1.0 alpha-tocotrienol <-->,1000,HMR_9152,-1000,1000
-1.0 gamma-tocopherol <-->,0,HMR_9153,0,1000
-1.0 gamma-tocotrienol <-->,1000,HMR_9154,-1000,1000
-1.0 ITP <-->,0,HMR_9155,0,1000
-1.0 dITP <-->,0,HMR_9156,0,1000
-1.0 hemoglobin <-->,0,HMR_9157,0,1000
-1.0 ascorbate <-->,0,HMR_9158,0,1000
-1.0 thiamin <-->,0.00217,HMR_9159,-0.00217,1000
-1.0 hydrogen-cyanide <-->,0,HMR_9160,0,1000
-1.0 homoserine <-->,0,HMR_9161,0,1000
-1.0 lepidimoide <-->,0,HMR_9162,0,1000
-1.0 leukotriene F4 <-->,0,HMR_9163,0,1000
-1.0 malonate <-->,0,HMR_9164,0,1000
-1.0 oxalate <-->,0,HMR_9165,0,1000
-1.0 chitin-component <-->,0,HMR_9166,0,1000
-1.0 lipoic acid <-->,0.000105,HMR_9167,-0.000105,1000
-1.0 glucosamine <-->,0,HMR_9168,0,1000
-1.0 selenate <-->,0,HMR_9169,0,1000
-1.0 2-acetyl-1-alkyl-sn-glycero-3-phosphocholine <-->,0,HMR_9171,0,1000
-1.0 1-organyl-2-lyso-sn-glycero-3-phosphocholine <-->,0,HMR_9172,0,1000
-1.0 citrulline <-->,0,HMR_9201,0,1000
-1.0 apoC-lys <-->,0,HMR_9202,0,1000
-1.0 D-xylose <-->,0,HMR_9203,0,1000
-1.0 glycophosphatidylinositol-(GPI)-anchored-protein-precursor <-->,0,HMR_9204,0,1000
-1.0 10-formyl-THF <-->,0,HMR_9205,0,1000
-1.0 10-formyl-THF-glu(5) <-->,0,HMR_9206,0,1000
-1.0 10-formyl-THF-glu(6) <-->,0,HMR_9207,0,1000
-1.0 10-formyl-THF-glu(7) <-->,0,HMR_9208,0,1000
-1.0 fatty acid pool <-->,0,HMR_9209,0,1000
-1.0 13-cis-retinoyl-glucuronide <-->,0,HMR_9210,0,1000
